n : 36 | bi(n) : 100100
n : 40 | bi(n) : 101000
n : 48 | bi(n) : 110000
n : 64 | bi(n) : 1000000
n : 128 | bi(n) : 10000000
n : 256 | bi(n) : 100000000
n : 512 | bi(n) : 1000000000
n : 11 | bi(n) : 1011
n : 12 | bi(n) : 1100
n : 16 | bi(n) : 10000
n : 32 | bi(n) : 100000
n : 64 | bi(n) : 1000000
n : 128 | bi(n) : 10000000
n : 256 | bi(n) : 100000000
n : 512 | bi(n) : 1000000000
n : 13 | bi(n) : 1101
n : 14 | bi(n) : 1110
n : 16 | bi(n) : 10000
n : 32 | bi(n) : 100000
n : 64 | bi(n) : 1000000
n : 128 | bi(n) : 10000000
n : 256 | bi(n) : 100000000
n : 512 | bi(n) : 1000000000
